Date,week_num,A,B,C,D
01/01/2013,418,0,0,0,0
08/01/2013,419,0,0,0,0
15/01/2013,420,0,0,0,0
22/01/2013,421,0,0,0,0
29/01/2013,422,0,0,0,0
05/02/2013,423,0,0,0,0
12/02/2013,424,0,0,0,0
19/02/2013,425,0,0,0,0
26/02/2013,426,0,0,0,0
05/03/2013,427,0,0,0,0
12/03/2013,428,0,0,0,0
19/03/2013,429,0,0,0,0
26/03/2013,430,0,0,0,0
02/04/2013,431,0,0,0,0
09/04/2013,432,0,0,0,0
16/04/2013,433,0,0,0,0
23/04/2013,434,0,0,0,0
30/04/2013,435,0,0,0,0
07/05/2013,436,0,0,0,0
14/05/2013,437,0,0,0,0
21/05/2013,438,0,0,0,0
28/05/2013,439,0,0,0,0
04/06/2013,440,0,0,0,0
11/06/2013,441,0,0,0,0
18/06/2013,442,0,0,0,0
25/06/2013,443,0,0,0,0
02/07/2013,444,0,0,0,0
09/07/2013,445,0,0,0,0
16/07/2013,446,0,0,0,0
23/07/2013,447,0,0,0,0
30/07/2013,448,0,0,0,0
06/08/2013,449,0,0,0,0
13/08/2013,450,0,0,0,0
20/08/2013,451,0,0,0,0
27/08/2013,452,0,0,0,0
03/09/2013,453,0,0,0,0
10/09/2013,454,0,0,0,0
17/09/2013,455,0,0,0,0
24/09/2013,456,0,0,0,0
01/10/2013,457,0,0,0,0
08/10/2013,458,0,0,0,0
15/10/2013,459,0,0,0,0
22/10/2013,460,0,0,0,0
29/10/2013,461,0,0,0,0
05/11/2013,462,0,0,0,0
12/11/2013,463,0,0,0,0
19/11/2013,464,0,0,0,0
26/11/2013,465,0,0,0,0
03/12/2013,466,0,0,0,0
10/12/2013,467,0,0,0,0
17/12/2013,468,0,0,0,0
24/12/2013,469,0,0,0,0
31/12/2013,470,0,0,0,0
07/01/2014,471,0,0,0,0
14/01/2014,472,0,0,0,0
21/01/2014,473,0,0,0,0
28/01/2014,474,0,0,0,0
04/02/2014,475,0,0,0,0
11/02/2014,476,0,0,0,0
18/02/2014,477,0,0,0,0
25/02/2014,478,0,0,0,0
04/03/2014,479,0,0,0,0
11/03/2014,480,0,0,0,0
18/03/2014,481,0,0,0,0
25/03/2014,482,0,0,0,0
01/04/2014,483,0,0,0,0
08/04/2014,484,0,0,0,0
15/04/2014,485,0,0,0,0
22/04/2014,486,0,0,0,0
29/04/2014,487,0,0,0,0
06/05/2014,488,0,0,0,0
13/05/2014,489,0,0,0,0
20/05/2014,490,0,0,0,0
27/05/2014,491,0,0,0,0
03/06/2014,492,0,0,0,0
