"Date","week_num","A","B","C","D","E","F","G","H"
"18/02/2013",478,0,0,0,0,0,0,0,0
"25/02/2013",479,0,0,0,0,0,0,0,0
"04/03/2013",480,0,0,0,0,0,0,0,0
"11/03/2013",481,0,0,0,0,0,0,0,0
"18/03/2013",482,0,0,0,0,0,0,0,0
"25/03/2013",483,0,0,0,0,0,0,0,0
"01/04/2013",484,0,0,0,0,0,0,0,0
"08/04/2013",485,0,0,0,0,1,0,0,0
"15/04/2013",486,0,0,0,0,0,0,0,0
"22/04/2013",487,0,0,0,0,0,0,0,0
"29/04/2013",488,0,0,0,0,0,0,0,0
"06/05/2013",489,0,0,0,0,0,0,0,0
"13/05/2013",490,0,0,0,0,0,0,0,0
"20/05/2013",491,0,0,0,0,0,0,0,0
"27/05/2013",492,0,0,0,0,0,0,0,0
"03/06/2013",493,0,0,0,0,0,0,0,0
"10/06/2013",494,0,0,0,0,0,0,0,0
"17/06/2013",495,0,0,0,0,0,0,0,0
"24/06/2013",496,0,0,0,0,0,0,0,0
"01/07/2013",497,0,0,0,0,0,0,0,0
"08/07/2013",498,0,0,0,0,0,0,0,0
"15/07/2013",499,0,0,0,0,0,0,0,0
"22/07/2013",500,0,0,0,0,0,0,0,0
"29/07/2013",501,0,0,0,0,0,0,0,0
"05/08/2013",502,0,0,0,0,0,0,0,0
"12/08/2013",503,0,0,0,0,0,0,0,0
"19/08/2013",504,0,0,1,0,0,0,0,0
"26/08/2013",505,0,0,0,0,0,0,0,0
"02/09/2013",506,0,0,0,0,0,0,0,0
"09/09/2013",507,0,0,0,0,0,0,0,0
"16/09/2013",508,0,0,0,0,0,0,0,0
"23/09/2013",509,0,0,0,0,0,0,0,0
"30/09/2013",510,0,0,0,0,0,0,0,0
"07/10/2013",511,0,0,0,0,0,0,0,0
"14/10/2013",512,0,0,0,0,0,0,0,0
"21/10/2013",513,0,0,0,0,0,0,0,0
"28/10/2013",514,0,0,0,0,0,0,0,0
"04/11/2013",515,0,0,0,0,0,0,0,0
"11/11/2013",516,0,0,0,0,0,0,0,0
"18/11/2013",517,0,0,0,0,0,0,0,0
"25/11/2013",518,0,0,0,0,0,0,0,0
"02/12/2013",519,0,0,0,0,0,0,0,0
"09/12/2013",520,0,0,0,0,0,0,0,0
"16/12/2013",521,0,0,0,0,0,0,0,0
"23/12/2013",522,0,0,0,0,0,0,0,0
"30/12/2013",523,0,0,0,0,0,0,0,0
"06/01/2014",524,0,0,0,0,0,0,0,0
"13/01/2014",525,0,0,0,0,0,0,0,0
"20/01/2014",526,0,0,0,0,0,0,0,0
"27/01/2014",527,0,0,0,0,0,0,0,0
"03/02/2014",528,0,0,0,0,1,0,0,0
"10/02/2014",529,0,0,0,0,0,0,0,0
"17/02/2014",530,0,0,0,0,0,0,0,0
"24/02/2014",531,0,0,0,0,0,0,0,0
"03/03/2014",532,0,0,0,0,0,0,0,0
"10/03/2014",533,0,0,0,0,0,0,0,0
"17/03/2014",534,0,0,0,0,0,0,0,0
"24/03/2014",535,0,0,0,0,0,0,0,0
"31/03/2014",536,0,0,0,0,0,0,0,0
"07/04/2014",537,0,0,0,0,0,0,0,0
"14/04/2014",538,0,0,0,0,0,0,0,0
"21/04/2014",539,0,0,0,0,0,0,0,0
"28/04/2014",540,0,0,0,0,0,0,0,0
"05/05/2014",541,0,0,0,0,0,0,0,0
"12/05/2014",542,0,0,0,0,0,0,0,0
"19/05/2014",543,0,0,0,0,0,0,0,0
"26/05/2014",544,0,0,0,0,0,0,0,0
"02/06/2014",545,0,0,1,0,1,0,0,0
"09/06/2014",546,0,0,0,0,0,0,0,0
"16/06/2014",547,0,0,0,0,0,0,0,0
"23/06/2014",548,0,0,0,0,0,0,0,0
"30/06/2014",549,0,0,0,0,0,0,0,0
"07/07/2014",550,0,0,0,0,0,0,0,0
"14/07/2014",551,0,0,0,0,0,0,0,0
"21/07/2014",552,0,0,0,0,0,0,0,0
"28/07/2014",553,0,0,0,0,0,0,0,0
"04/08/2014",554,0,0,0,0,0,0,0,0
"11/08/2014",555,0,0,0,0,0,0,0,0
"18/08/2014",556,0,0,0,0,0,0,0,0
"25/08/2014",557,0,0,0,0,0,0,0,0
"01/09/2014",558,0,0,0,0,0,0,0,0
"08/09/2014",559,0,0,0,0,0,0,0,0
"15/09/2014",560,0,0,0,0,0,0,0,0
"22/09/2014",561,0,0,0,0,0,0,0,0
"29/09/2014",562,0,0,0,0,0,0,0,0
"06/10/2014",563,0,0,0,0,0,0,0,0
"13/10/2014",564,0,0,0,0,0,0,0,0
"20/10/2014",565,0,0,0,0,0,0,0,0
"27/10/2014",566,0,0,0,0,0,0,0,0
"03/11/2014",567,0,0,0,0,0,0,0,0
"10/11/2014",568,0,0,0,0,0,0,0,0
"17/11/2014",569,0,0,0,0,0,0,0,0
"24/11/2014",570,0,0,0,0,0,0,0,0
"01/12/2014",571,0,0,0,0,0,0,0,0
"08/12/2014",572,0,0,0,0,0,0,0,0
"15/12/2014",573,0,0,0,0,0,0,0,0
"22/12/2014",574,0,0,0,0,0,0,0,0
"29/12/2014",575,0,0,0,2,0,0,0,0
"05/01/2015",576,0,0,0,0,1,0,0,0
"12/01/2015",577,0,0,0,0,0,0,0,0
"19/01/2015",578,0,0,0,0,0,0,0,0
"26/01/2015",579,0,0,0,0,0,0,0,0
"02/02/2015",580,0,0,0,0,0,0,0,0
