label,ID,Source,Year,date,ESR number,Clades,Clades_B,tetA,other_AMR_genes,IncF,mobilisable_plasmids,other_conjugative,line
SBV198_plate03|2018.84383561644,SBV198,Bovine,2018,5/11/2018,18ER4795,C,H,0,0,1,1,0,1
SBV199_plate03|2018.8904109589,SBV199,Feline,2018,22/11/2018,18ER5028,C,H,0,0,1,1,0,1
SBV200_plate03|2018.90410958904,SBV200,Bovine,2018,27/11/2018,18ER5054,B,D,0,0,1,1,0,1
SBV201_plate03|2018.92054794521,SBV201,Bovine,2018,3/12/2018,18ER5182,C,H,0,0,1,2,0,1
SBV202_plate03|2018.95068493151,SBV202,Bovine,2018,14/12/2018,18ER5277,C,H,0,0,1,1,0,1
SBV203_plate03|2018.96438356164,SBV203,Human,2019,19/12/2018,19ER0032,C,H,0,0,1,1,0,1
SBV204_plate03|2019.42739726027,SBV204,Human,2019,6/06/2019,19ER0065,C,H,0,0,1,1,0,1
SBV205_plate03|2018.99452054795,SBV205,Human,2019,30/12/2018,19ER0127,B,E,0,0,1,1,0,1
SBV206_plate03|2019.01643835616,SBV206,Human,2019,7/01/2019,19ER0161,C,H,0,0,1,1,0,1
SBV207_plate03|2019.0301369863,SBV207,Human,2019,12/01/2019,19ER0377,C,H,1,1,1,1,1,1
SBV208_plate03|2019.04657534247,SBV208,Human,2019,18/01/2019,19ER0411,B,G,0,0,1,1,0,1
SBV209_plate03|2019.05205479452,SBV209,Human,2019,20/01/2019,19ER0454,C,H,0,0,1,1,1,1
SBV210_plate03|2019.08493150685,SBV210,Human,2019,1/02/2019,19ER0646,B,E,0,0,1,1,0,1
SBV211_plate03|2019.21095890411,SBV211,Human,2019,19/03/2019,19ER1394,C,H,0,0,1,1,0,1
SBV212_plate03|2019.24931506849,SBV212,Human,2019,2/04/2019,19ER1534,B,E,0,0,1,1,0,1
SBV213_plate03|2019.27945205479,SBV213,Human,2019,13/04/2019,19ER1678,C,H,0,0,1,1,0,1
SBV214_plate03|2019.44383561644,SBV214,Human,2019,12/06/2019,19ER2342,C,H,0,0,1,1,0,1
SBV216_plate03|2019.00821917808,SBV216,Bovine,2019,4/01/2019,19ER0191,B,D,0,0,1,1,0,1
SBV217_plate03|2019.07945205479,SBV217,Bovine,2019,30/01/2019,19ER0577,C,H,0,0,1,1,0,1
SBV218_plate05|2019.09315068493,SBV218,Bovine,2019,4/02/2019,19ER0688,B,E,0,0,1,1,0,1
SBV219_plate03|2019.10136986301,SBV219,Bovine,2019,7/02/2019,19ER0689,C,H,0,0,1,1,0,1
SBV220_plate03|2019.1397260274,SBV220,Ovine,2019,21/02/2019,19ER0915,C,H,0,0,1,1,0,1
SBV221_plate03|2019.20821917808,SBV221,Bovine,2019,18/03/2019,19ER1294,B,D,0,0,1,1,0,1
SBV222_plate03|2019.42739726027,SBV222,Bovine,2019,6/06/2019,19ER1295,B,E,0,0,1,1,0,1
SBV224_plate03|2019.25753424658,SBV224,Bovine,2019,5/04/2019,19ER1477,B,E,0,0,1,1,1,1
SBV225_plate03|2019.30684931507,SBV225,Bovine,2019,23/04/2019,19ER1774,C,H,0,0,1,1,0,1
SBV226_plate03|2019.34520547945,SBV226,Bovine,2019,7/05/2019,19ER1926,C,H,0,0,1,1,0,1
SBV227_plate03|2019.65753424658,SBV227,Bovine,2019,29/08/2019,19ER3383,C,H,0,0,1,1,0,1
SBV228_plate03|2019.40547945205,SBV228,Bovine,2019,29/05/2019,19ER2189,B,D,0,0,1,1,0,1
SBV229_plate03|2019.36164383562,SBV229,Feline,2019,13/05/2019,19ER2199,C,H,0,0,1,1,0,1
SBV230_plate03|2019.43835616438,SBV230,Bovine,2019,10/06/2019,19ER2291,C,H,0,0,1,1,0,1
SBV231_plate03|2019.45753424658,SBV231,Bovine,2019,17/06/2019,19ER2338,C,H,0,0,1,1,0,1
SBV232_plate03|2019.50410958904,SBV232,Bovine,2019,4/07/2019,19ER2522,C,H,0,0,1,1,0,1
