Isolate,Isolate,level 1,level 2,Isolate,cluster_A,cluster_B,,,,,,,,Isolate
SBV110_plate02|2016.7650273224,SBV110,2,4,SBV110_plate02|2016.7650273224,B,D,,,,,,,,SBV110
SBV111_plate02|2016.77595628415,SBV111,3,8,SBV111_plate02|2016.77595628415,C,H,,,,,,,,SBV111
SBV112_plate02|2016.80054644809,SBV112,3,8,SBV112_plate02|2016.80054644809,C,H,,,,,,,,SBV112
SBV113_plate02|2016.98907103825,SBV113,3,8,SBV113_plate02|2016.98907103825,C,H,,,,,,,,SBV113
SBV114_plate02|2016.98087431694,SBV114,3,8,SBV114_plate02|2016.98087431694,C,H,,,,,,,,SBV114
SBV115_plate02|2016.99180327869,SBV115,3,8,SBV115_plate02|2016.99180327869,C,H,,,,,,,,SBV115
SBV116_plate02|2017.05753424658,SBV116,2,4,SBV116_plate02|2017.05753424658,B,D,,,,,,,,SBV116
SBV117_plate02|2017.06301369863,SBV117,3,8,SBV117_plate02|2017.06301369863,C,H,,,,,,,,SBV117
SBV118_plate02|2017.21369863014,SBV118,3,8,SBV118_plate02|2017.21369863014,C,H,,,,,,,,SBV118
SBV119_plate02|2017.25479452055,SBV119,2,4,SBV119_plate02|2017.25479452055,B,D,,,,,,,,SBV119
SBV121_plate02|2017.68219178082,SBV121,3,8,SBV121_plate02|2017.68219178082,C,H,,,,,,,,SBV121
SBV122_plate02|2017.68219178082,SBV122,3,8,SBV122_plate02|2017.68219178082,C,H,,,,,,,,SBV122
SBV123_plate02|2017.42739726027,SBV123,3,8,SBV123_plate02|2017.42739726027,C,H,,,,,,,,SBV123
SBV124_plate02|2016.99180327869,SBV124,3,8,SBV124_plate02|2016.99180327869,C,H,,,,,,,,SBV124
SBV125_plate02|2017.00821917808,SBV125,3,8,SBV125_plate02|2017.00821917808,C,H,,,,,,,,SBV125
SBV126_plate03|2017.02739726027,SBV126,3,8,SBV126_plate03|2017.02739726027,C,H,,,,,,,,SBV126
SBV127_plate02|2017.08493150685,SBV127,2,4,SBV127_plate02|2017.08493150685,B,D,,,,,,,,SBV127
SBV128_plate02|2017.14794520548,SBV128,3,8,SBV128_plate02|2017.14794520548,C,H,,,,,,,,SBV128
SBV130_plate02|2017.2,SBV130,3,8,SBV130_plate02|2017.2,C,H,,,,,,,,SBV130
SBV131_plate03|2017.25205479452,SBV131,3,8,SBV131_plate03|2017.25205479452,C,H,,,,,,,,SBV131
SBV132_plate02|2017.27945205479,SBV132,3,8,SBV132_plate02|2017.27945205479,C,H,,,,,,,,SBV132
SBV133_plate02|2017.31780821918,SBV133,3,8,SBV133_plate02|2017.31780821918,C,H,,,,,,,,SBV133
SBV134_plate02|2017.33698630137,SBV134,3,8,SBV134_plate02|2017.33698630137,C,H,,,,,,,,SBV134
SBV135_plate02|2017.33698630137,SBV135,2,5,SBV135_plate02|2017.33698630137,B,E,,,,,,,,SBV135
SBV136_plate02|2017.37534246575,SBV136,3,8,SBV136_plate02|2017.37534246575,C,H,,,,,,,,SBV136
SBV137_plate03|2017.41095890411,SBV137,3,8,SBV137_plate03|2017.41095890411,C,H,,,,,,,,SBV137
SBV138_plate02|2017.43561643836,SBV138,3,8,SBV138_plate02|2017.43561643836,C,H,,,,,,,,SBV138
SBV139_plate02|2017.44657534247,SBV139,3,8,SBV139_plate02|2017.44657534247,C,H,,,,,,,,SBV139
SBV140_plate02|2017.48767123288,SBV140,3,8,SBV140_plate02|2017.48767123288,C,H,,,,,,,,SBV140
